Game Data,,,,,,,,,Quarterback,,,,,,,,,,,,,,,,,,,,,Running Back,,,,,,,,,,,Receiver,,,,,,,,,,,,,,Offensive Line,,,,,,Off-Penalty,,,,,Defense,,,,,,,,,,,Coverage,,,,,,,,Def-Penalty,,,,
Play#,Off,Def,Q,Dwn,Y2G,Half,Yd Ln,Res,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note,RB,Att,Yds,YAC,1D,TD,MT,Stuff,Fum,FumL,Note,WR,Tgt,Rec,Cont,AirYds,Tyds,YAC,MT,Drop,EZ,1D,TD,Fum,Note,OL1,Pos,Hur,Hit,Sk,Note,Player,Type,Yds,Acc/Dec,Note,Defender,Tackle,MT,Stuff,Sack,Hit,Hur,FF,FumR,BP,D-TD,Tgt,Comp,Cont,PD,TD,Int,PI,Note,Player,Type,Yds,Acc/Dec,Note
1,BAMA,OSU,1,1,10,Own,25,,,,,,,,,,,,,,,,,,,,,,,Amari Cooper 9,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BAMA,OSU,1,2,5,Own,30,,,,,,,,,,,,,,,,,,,,,,,Derrick Henry 27,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joey Bosa 97,1,,,,,,,,,,,,,,,,,,,,,,
3,BAMA,OSU,1,3,3,Own,32,,Blake Sims 6,SG,1,0,Left,15,,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Amari Cooper 9,1,0,1,15,,,,1,,,,,,,,,,,,,,,,,Doran Grant 12,,,,,,,,,,,1,0,1,,,,,,,,,,
4,OSU,BAMA,1,1,10,Own,15,,, ,,,,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,4,2,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Geno Smith 24,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Trey DePriest 33,1,,,,,,,,,,,,,,,,,,,,,,
5,OSU,BAMA,1,2,6,Own,19,,Cardale Jones 12,SG,1,0,Right,25,,1,0,,,,,,,,,,,1,, ,,,,,,,,,,,Evan Spencer 6,1,0,1,25,,,,,,,,,,Ezekiel Elliot 15,RB,1,,,,,,,,,Landon Collins 26,,,,,,,,,,,1,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Geno Smith 24,,,,,,1,,,,,,,,,,,,,,,,,
6,OSU,BAMA,1,3,6,Own,19,First,Cardale Jones 12,SG,,, ,,,1,,1,,,,,,,,,,,,Cardale Jones 12,1,12,10,1,,2,,,,, ,,,,,,,,,,,,,,Taylor Decker 68,LT,1,,,,,,,,,Xzavier Dickson 47,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Landon Collins 26,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,D.J. Pettway 57,,,,,,1,,,,,,,,,,,,,,,,,
