Play#,Off,Def,Q,Dwn,Y2G,Half,Yd Ln,Res
1,BAMA,OSU,1,1,10,Own,25,
2,BAMA,OSU,1,2,5,Own,30,
3,BAMA,OSU,1,3,3,Own,32,
4,OSU,BAMA,1,1,10,Own,15,
,,,,,,,,
5,OSU,BAMA,1,2,6,Own,19,
,,,,,,,,
6,OSU,BAMA,1,3,6,Own,19,First
,,,,,,,,
,,,,,,,,
7,OSU,BAMA,1,1,10,Own,31,First
8,OSU,BAMA,1,1,10,Own,44,
9,OSU,BAMA,1,2,13,Own,41,First
,,,,,,,,
,,,,,,,,
10,OSU,BAMA,1,1,G,Opp,5, 
11,OSU,BAMA,1,2,G,Opp,5, 
12,OSU,BAMA,1,3,G,Opp,5, 
, , ,,,,,, 
13,BAMA,OSU,1,1,10,Own,12, 
, , ,,,,,, 
14,BAMA,OSU,1,2,4,Own,18, 
15,BAMA,OSU,1,3,5,Own,17, 
,,,,,,,, 
16,OSU,BAMA,1,1,10,Own,20, 
, , ,,, , ,, 
, , ,,, , ,, 
, , ,,, , ,, 
17,BAMA,OSU,1,1,10,Opp,33, 
18,BAMA,OSU,1,2,2,Opp,25,TD
19,OSU,BAMA,1,1,10,Own,25,First
20,OSU,BAMA,1,1,10,Own,36, 
, , ,,,, ,, 
21,OSU,BAMA,1,2,10,Own,36, 
22,OSU,BAMA,1,3,8,Own,38,First
, , ,,,, ,, 
 , , ,,,, ,, 
23,OSU,BAMA,1,1,10,Opp,42, 
 , , , , , , , , 
24,OSU,BAMA,1,2,10,Opp,42, 
 , , , , , , , ,First
 , , , , , , , , 
25,OSU,BAMA,1,3,9,Opp,41,First
26,OSU,BAMA,1,1,G,Opp,1, 
27,OSU,BAMA,1,2,G,Opp,9, 
 , , , , , , , , 
28,OSU,BAMA,1,3,G,Opp,4, 
29,BAMA,OSU,1,1,10,Own,21,First
30,BAMA,OSU,1,1,10,Own,47, 
  , , , , , , , , 
31,BAMA,OSU,1,2,2,Opp,45, 
 , , , , , , , , 
 , , , , , , , , 
32,BAMA,OSU,1,3,2,Opp,45,First
 , , , , , , , , 
33,BAMA,OSU,1,1,10,Opp,36, 
34,BAMA,OSU,1,2,3,Opp,29,First
35,BAMA,OSU,1,1,10,Opp,25,First
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
36,BAMA,OSU,1,1,10,Opp,15,TD
37,OSU,BAMA,1,1,10,Own,12, 
38,OSU,BAMA,1,2,8,Own,14, 
39,OSU,BAMA,1,3,20,Own,2, 
 , , , , , , , , 
40,BAMA,OSU,2,1,10,Own,39, 
41,BAMA,OSU,2,2,3,Own,46, 
42,BAMA,OSU,2,3,3,Own,46, 
43,OSU,BAMA,2,1,10,Own,5, 
 , , , , , , , , 
 , , , , , , , , 
44,OSU,BAMA,2,2,1,Own,14,First
 , , , , , , , , 
45,OSU,BAMA,2,1,10,Own,15, 
 , , , , , , , , 
 , , , , , , , , 
46,OSU,BAMA,2,2,10,Own,15, 
47,OSU,BAMA,2,3,10,Own,15,First
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
48,OSU,BAMA,2,1,10,Own,29, 
 , , , , , , , , 
49,OSU,BAMA,2,2,8,Own,31, 
50,BAMA,OSU,2,1,10,Opp,15, 
 , , , , , , , , 
 , , , , , , , , 
51,BAMA,OSU,2,2,6,Opp,11, 
 , , , , , , , , 
52,BAMA,OSU,2,3,1,Opp,6, 
 , , , , , , , , 
 , , , , , , , , 
53,BAMA,OSU,2,4,1,Opp,6,First
54,BAMA,OSU,2,1,G,Opp,2, 
55,OSU,BAMA,2,1,10,Own,29, 
56,OSU,BAMA,2,2,9,Own,30, 
 , , , , , , , , 
57,OSU,BAMA,2,3,10,Own,29,First
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
58,OSU,BAMA,2,1,10,Opp,45, 
59,OSU,BAMA,2,1,15,Own,50, 
 , , , , , , , , 
 , , , , , , , , 
60,OSU,BAMA,2,2,9,Opp,44, 
61,OSU,BAMA,2,3,9,Opp,44,First
 , , , , , , , , 
62,OSU,BAMA,2,1,10,Opp,18, 
63,OSU,BAMA,2,2,10,Opp,18,First
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
64,OSU,BAMA,2,1,G,Opp,5, 
