Play,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note
1,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
3,Blake Sims 6,SG,,,Left,,,,,,,,,,,,,,,,
4,, ,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
5,Cardale Jones 12,SG,,,Right,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
6,Cardale Jones 12,SG,,, ,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
7,, ,,, ,,,,,,,,,,,,,,,,
8,, ,,, ,,,,,,,,,,,,,,,,
9,, ,,, ,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
10,, ,,, ,,,,,,,,,,,,,,,,
11,Cardale Jones 12,SG,,,Left,,,,,,,,,,,,,,,,
12,Cardale Jones 12,SG,,, ,,,,,,,,,,,,,,,,
12,, ,,, ,,,,,,,,,,,,,,,,
13,Blake Sims 6,UC,,,Right,,,,,,,,,,,,,,,,
13,, ,,, ,,,,,,,,,,,,,,,,
14,, ,,, ,,,,,,,,,,,,,,,,
15,Blake Sims 6,SG,,,Mid,,,,,,Ov,,,,,,,,,,
15,, ,,, ,,,,,,,,,,,,,,,,
16,, ,,, ,,,,,,,,,,,,,,,,
17,, ,,, ,,,,,,,,,,,,,,,,
17,, ,,, ,,,,,,,,,,,,,,,,
17,, ,,, ,,,,,,,,,,,,,,,,
17,, ,,, ,,,,,,,,,,,,,,,,
18,, ,,, ,,,,,,,,,,,,,,,,
19,, ,,, ,,,,,,,,,,,,,,,,
20,Cardale Jones 12,SG,,, ,,,,,,,,,,,,,,,,
20,, ,,, ,,,,,,,,,,,,,,,,
21,, ,,, ,,,,,,,,,,,,,,,,
22,Cardale Jones 12,SG,,, ,,,,,,,,,,,,,,,,
22,, ,,, ,,,,,,,,,,,,,,,,
22,, ,,, ,,,,,,,,,,,,,,,,
23,Cardale Jones 12,SG,,,Right,,,,,,Ov,,,,,,,,,,
23,, ,,, ,,,,,,,,,,,,,,,,
24,, ,,, ,,,,,,,,,,,,,,,,
24,, ,,, ,,,,,,,,,,,,,,,,
24,, ,,, ,,,,,,,,,,,,,,,,
25,Cardale Jones 12,SG,,,Right,,,,,,,,,,,,,,,,
26,Cardale Jones 12,SG,,, ,,,,,,,,,,,,,,,,
27,Cardale Jones 12,SG,,,Right,,,,,,,,,,,,,,,,
27,, ,,, ,,,,,,,,,,,,,,,,
28,Cardale Jones 12,SG,,,Right,,,,,,,,,,,,,,,,
29,, ,,, ,,,,,,,,,,,,,,,,
30,, ,,, ,,,,,,,,,,,,,,,,
30,, ,,, ,,,,,,,,,,,,,,,,
31,Blake Sims 6,SG,,,Right,,,,,,,,,,,,,,,,
31,, ,,, ,,,,,,,,,,,,,,,,
31,, ,,, ,,,,,,,,,,,,,,,,
32,, ,,, ,,,,,,,,,,,,,,,,
32,, ,,, ,,,,,,,,,,,,,,,,
33,, ,,, ,,,,,,,,,,,,,,,,
34,, ,,, ,,,,,,,,,,,,,,,,
35,Blake Sims 6,SG,,,Right,,,,,,,,,,,,,,,,
35,, ,,, ,,,,,,,,,,,,,,,,
35,, ,,, ,,,,,,,,,,,,,,,,
35,, ,,, ,,,,,,,,,,,,,,,,
36,Blake Sims 6,UC,,,Right,,,,,,,,,,,,,,,,
