first_name,last_name,suffix,position,height,weight,year
Claude,Alexander,,ILB,6010,220,SO
Cody,Apfel,,WR,6020,190,JR
Kalon,Baker,,CB,6000,180,SR
Myles,Barnes,,WR,6050,225,JR
Streator,Bates,,TE-H,6030,220,FR
Sam,Berry,,QB,6030,185,FR
Dillon,Beschel,,DE,6050,260,SR
Ryan,Brand,,QB-DT,5100,190,FR
Luke,Brantley,,OT,6040,250,SR
Garrett,Brown,,WR,5090,175,SR
Dylan,Bungum,,DL,6050,250,SR
Jalen,Burgess,,RB,5110,214,FR
Samual,Byers,,DT,6050,257,JR
Jamal,Byrd,,SS,5110,207,SR
Riley,Cannon,,DL,6040,260,SR
Allen,Caunitz,,OT,6040,245,JR
Campbell,Clarkson,,OG,6040,240,FR
Ronald,Cleveland,,CB,5100,165,FR
Aaron,Clinton-Earl,,RB,5100,210,JR
Will,Conant,,PK,6020,215,SR
Santo,Coppola,,NG,6040,285,SO
Shayne,Davern,,RB,5110,245,JR
Pate,Davis,,QB,6000,187,SO
Justin,DeCoud,,CB,5100,180,SR
Ryan,DeLung,,OG,6030,275,FR
Nate,Dreslinski,,TE,6040,240,SR
Brett,Dunn,,P/H,5100,190,SR
Haji,Dunn,Jr,ILB,6030,240,JR
Kobey,Eaton,,ATH,6020,174,FR
Harrison,Elliott,,LS,6030,240,SR
Nick,Fitzgerald,,DE,6040,265,SR
John,Flor,,OLB,6010,214,SO
Matt,Gaitor,,DE,6030,250,FR
Kristov,George,,LB,6010,215,JR
Robert,Green,,DL,6020,245,SR
Garrett,Griffin,,TE,6040,225,SR
Patrick,Halloran,,OT,6040,255,SO
Parker,Hammond,,TE-Y,6040,245,FR
Tucker,Hancock,,WR,5060,160,SR
Alex,Hansen,,DE,6030,260,SR
Tristyan,Hanson,,OLB,6010,215,FR
David,Harris,,NT,6000,255,JR
Broam,Hart,,FB,6000,220,SR
Connor,Healy,,ILB,6000,225,SR
Patrick,Healy,,ILB,6000,225,JR
Marcus,Hendricks,,TE,6060,240,SR
Brodie,Hicks,,FS,6020,200,JR
Brayden,Hill,,DB,5100,190,SO
Riley,Huff,,TE,6030,230,SR
Colton,Huntsman,,WR,5100,185,SR
Michael,Husar Jr.,,C,6000,270,SR
DJ,Johnson,,FB,5090,227,JR
Jalen,Johnson,,RB,5800,167,FR
David,Jones,,C,6000,250,SR
Dominieke,Jones,,CB,6000,170,FR
Jalen,Lacy,,DT,6040,250,JR
Roland,Ladipo,,CB,5100,185,JR
Griffin,Landrum,,OG,6010,280,FR
Jon,Lee,,RB,5100,195,SR
Keith,Link,,TE,6030,230,SR
Hayes,Linn,,FS,6000,175,JR
Jacob,Littlefield,,OLB,6000,195,FR
Alex,Ludowig,,WR,5110,170,SR
Jimmy,Manuel,,OG,6030,285,SR
Nick,Maxey,,C,6000,250,FR
Jordan,Mays,,CB,6010,190,SR
Gavin,McHenry,,CB,6000,185,JR
Stone,Miller,,DE,6030,240,FR
Chris,Musselman,,OLB,6000,210,FR
Joey,Nichol,,ILB,6010,230,SR
Alexander,Norton,,OG,6020,288,SO
Patrick,Noyes,,OG,6000,270,SR
Drew,Oehrle,,PK,6000,160,SR
Nelson,Onwuzu,,WR,5110,175,JR
Jacob,Onyechi,,OLB,6010,195,SO
Jacobi,Owens,,RB,5110,190,JR
Kale,Pearson,,QB,5090,175,SR
Jordan,Pierce,,ILB,6010,215,SO
Spencer,Proctor,,OLB,6020,227,SR
Sevrin,Remmo,,OT,6030,240,SR
Joshua,Rice,,OC,6010,283,FR
Karson,Roberts,,QB,6000,190,SR
Jalen,Robinette,,WR,6030,220,JR
Matt,Rochell,,OT,6030,270,SR
Nate,Romine,,QB,5110,198,JR
Grant,Ross,,LB,6010,212,FR
A.J.,Ruechel,,OG,6010,265,SR
Andrew,Ruechel,,OG,6010,260,JR
Devin,Rushing,,RB,5100,180,SR
Colin,Sandor,,OG,6010,275,JR
Nick,Searcy,,OG,6020,275,FR
Josh,Self,,TE,6020,225,SO
Paco,Solano,,FB,5110,210,JR
Christian,Spears,,FS,5090,195,SR
Weston,Steelhammer,,SS,6020,200,SO
Dailon,Sutton,,S,6010,165,FR
Corey,Taylor,,RB,5100,198,FR
Lorenzo,Thomas,,FB,6010,220,FR
Nolan,Thompson,,WR,6030,195,FR
Troy,Timmerman,,NT,6020,260,SR
Jordan,Tyler,,OC,6020,260,SO
Arinze,Uzo-Okereke,,OL,6050,280,JR
Dylan,Vail,,OC,6020,280,JR
Samuel,Valleroy,,TE-Y,6040,223,FR
Tyler,Vaught,,ATH,6010,158,FR
Dexter,Walker,,SS,6000,205,SR
Jessie,Washington,,CB,6000,185,JR
Ryan,Watson,,DE,6030,240,JR
Tyler,Weaver,,CB,6010,210,JR
Eric,Wermuth,,DB,5100,180,JR
Donnie,Wharton,,OLB,6000,215,SR
Jackson,Wilson,,OG,6030,280,JR
Parker,Wilson,,OLB,5110,200,FR
Daniel,Zivney,,PK,5110,190,FR
