first_name,last_name,suffix,position,height,weight,year
Zach,Abey,,QB,6020,195,FR
Quincy,Adams,,CB,5110,200,SR
Evan,Akins,,OT,6060,295,SO
A.K.,Akpunku,,DE,6030,242,SR
Adam,Amosa,,OL,6020,260,FR
Lance,Angulo,,DL,6010,270,FR
Will,Anthony,,DE,6010,254,SR
Josh,Antol,,LS,6010,214,JR
Lamonte,Armstrong,,OLB,6020,200,FR
Shane,Artim,,DE,6030,243,SO
Justin,Artis,,FB,6010,195,SO
Jacob,Banholzer,,DL,6020,265,FR
Lorentez,Barbour,,S,6010,194,JR
Bryan,Barrett,,OL,6020,305,FR
Alex,Barta,,P,6030,213,JR
Kyle,Battle,,CB,6010,190,JR
Randy,Beggs,,S,6000,185,SO
Dexter,Bell,,OLB,6030,215,SO
Kwazel,Bertrand,,CB,6000,192,SR
E.K.,Binns,,OG,6030,295,SR
Darryl,Bonner,,SB,5070,171,SO
Alex,Brown,,OG,6030,266,JR
Demond,Brown,,SB,5090,201,SR
Josh,Brown,,SB,5090,189,SO
John,Brown III,,SB,5090,194,SO
Cameron,Bryant,,CB,5100,186,JR
Tyler,Carmona,,WR,6040,205,SO
Calvin,Cass Jr.,,SB,5100,206,JR
Patrick,Cassley,,K,6010,200,SO
Trayvon,Clarke,,WR,6020,185,FR
Brendon,Clements,,CB,5011,188,JR
Ted,Colburn,,OLB,6030,223,JR
Brandon,Coleman,,QB,5100,165,FR
Brandon,Colon,,WR,6040,218,SO
Blake,Copeland,,OT,6040,258,JR
Nick,Czar,,DL,6040,260,FR
Jahmaal,Daniel,,SB,5060,160,SO
Miles,Davenport,,LB,6020,233,SO
Eli,Dawson,,OLB,6050,235,SO
Tory,Delmonico,,ATH,6020,203,FR
Conner,Dorris,,LB,6020,230,FR
Connor,Doyle,,DB,6000,180,FR
Cameron,Dudeck,,SB,6000,175,FR
Rob,Dusz,,C,6000,281,JR
Buck,Elliott,,DL,6040,250,FR
Cole,Euverard,,QB,5110,188,FR
Quentin,Ezell,,FB,6010,253,SR
John,Ferguson,,OT,6040,250,JR
John,Fiorelli,,LB,6010,210,FR
