first_name,last_name,suffix,position,height,weight,year
Shahbaz,Ahmed,,DE,6030,296,SR
Kareem,Ali,,CB,5110,175,FR
Jarred,Alwan,,LB,6010,237,JR
Nick,Apostolu,,OL,6050,306,RS FR
Ryquell,Armstead,,RB,5110,205,FR
Adeboye,Aromire,,SS,6000,206,RS SR
Jeremiah,Atoki,,DB,6020,190,FR
Shamir,Bearfield,,DB,5110,175,RS FR
Samuel,Benjamin,,WR,6000,200,RS JR
Freddie,Booth-Lloyd,,DT,6010,315,RS FR
Cole,Boozer,,TE,6050,250,RS SO
Tom,Bradway,,WR,5100,190,RS SO/TR
Josiah,Bronson,,DL,6050,265,FR
Ventell,Bryant,,WR,6030,181,RS FR
Alex,Carling,,TE,6050,225,FR
Brian,Carter,,OG,6030,309,RS SO
Sean,Chandler,,CB,5110,185,SO
John,Christopher,,WR/LS,5100,189,RS SR
Brandon,Chudnoff,,DE,6020,260,RS SR
Chapelle,Cook,,LB,6010,214,FR
Jim,Cooper,Jr.,PK/P,6010,213,JR
Anthony,Davis,,DB,5110,195,SO
Dion,Dawkins,,OL,6050,318,JR
Romond,Deloatch,,TE,6040,214,RS JR
Julio,Derosier,,DL,6060,287,SR/TR
Tim,DiGiorgio,,QB,6030,196,RS SO
Michael,Dobge,,DL,6030,257,RS FR
Rob,Dvoracek,,IB,6020,231,RS JR
Matt,Eaton,,WR,6040,201,RS FR
Marshall,Ellick,,WR,6020,191,RS SO/TR
Avery,Ellis,,OLB,6020,249,RS JR
Jovahn,Fair,,OL,6030,285,FR
Brian,Fallon,,LS,6000,224,RS FR
Michael,Felton,,LB,6000,232,SR
Sharif,Finch,,OB,6040,257,JR
Jared,Folks,,LB,6020,218,RS FR
Artrel,Foster,,DB,6000,186,RS SO
Kyle,Friend,,OC,6020,305,SR
Jager,Gardner,,RB,6020,205,FR
Jamie,Gilmore,,RB,5080,190,SR
Daishaun,Grimes,,LB,6020,192,FR
Nate,Hairston,,WR,6000,193,RS JR
Will,Hayes,,FS,5090,192,RS SR
