first_name,last_name,suffix,position,height,weight,year
Otara,Alaka,,OB,6030,225,SO
Brandon,Alexander,,TE,6060,266,SR
Kyle,Allen,,QB,6030,205,SO
Taylor,Bertolet,,PK,5090,185,SR
Jake,Blount,,DE,6040,255,JR
Jay,Bradford,,RB,5110,196,FR-HS
Ryan,Bruning,,FB,6010,228,SO
Devonta,Burns,,CB,6000,214,SR
Kendall,Bussey,,RB,5090,200,FR-HS
DeShawn,Capers-Smith,,CB,6000,182,FR-HS
Tra,Carson,,RB,6000,230,SR
Joseph,Cheek,,OT,6070,310,SR
Reggie,Chevis,,IB,6010,255,SO
Qualen,Cunningham,,DE,6030,247,SO
David,Darley,,TE,6040,240,SO
Jordan,Davis,,TE,6040,255,FR-HS
Tank,Davis,,OG,6040,280,FR-RS
Victor,Davis,,CB,6000,194,SO
Brice,Dolezal,,RB,5090,180,SR
Justin,Dunning,,SS,6040,215,FR-HS
Landis,Durham,,IB,6030,232,FR-HS
Roney,Elam,,CB,6020,173,FR-HS
Trevor,Elbert,,OT,6060,320,FR-HS
Noel,Ellis,,CB,5100,180,SO
Jermaine,Eluemunor,,OG,6040,318,JR
Austin,English,,RB,5110,221,JR
Justin,Evans,,CB,6010,195,SO-JC
Isaac,Flores,,DT,6030,300,JR
Austin,Frey,,LS,6010,230,FR-RS
Riley,Garner,,IB,6030,225,FR-HS
Tavares,Garner,,CB,6000,180,JR
Myles,Garrett,,DE,6050,255,SO
Avery,Gennesy,,OT,6050,310,JR
Claude,George,,IB,6020,235,JR-JC
Cullen,Gillaspia,,OB,6020,215,FR-RS
Chance,Gray,,RB,5070,170,JR
J.J.,Gustafson,,OT,6050,295,SO
Daeshon,Hall,,DE,6060,260,JR
De'Vante,Harris,,CB,5110,175,SR
Nick,Harvey,,CB,5100,180,SO
Daniel,Havens,,LS,6010,220,SO
Zaycoven,Henderson,,DT,6010,315,SO
A.J.,Hilliard,,OB,6020,230,SO
Sabian,Holmes,,WR,5110,175,SR
Germain,Ifedi,,OT,6050,325,JR
Frank,Iheanacho,,WR,6060,220,SO
Darrell,Jackson,,DE,6050,235,SO
Jamal,Jeffery,,WR,5090,175,SO
Jarrett,Johnson,,DE,6030,260,SO
Jalyn,Judkins,,WR,6020,220,SO
Drew,Kaser,,P,6030,210,SR
Kingsley,Keke,,DT,6030,319,FR-HS
Nathan,Kellman,,OG,6030,296,SR
Christian,Kirk,,WR,5110,190,FR-HS
Mac,Labhart,,OB,6000,217,FR-HS
Daniel,LaCamera,,PK/P,6040,210,FR-HS
Connor,Lanfear,,OT,6060,305,FR-HS
Zach,Ledwik,,OT,6050,282,FR-RS
Ryan,Lindblade,,OT,6070,305,JR
James,Lockhart,,DE,6030,250,FR-HS
Chad,Loitz,,OG,6010,325,SO
Daylon,Mack,,DT,6010,340,FR-HS
Justin,Manning,,DT,6010,300,SO
Koda,Martin,,OT,6060,275,FR-RS
Taylor,Martinez,,OB,6000,219,JR
Mike,Matthews,,OC,6020,290,SR
Erik,McCoy,,OG,6040,315,FR-HS
Conner,McQueen,,QB,5100,175,JR
Braden,Meador,,OT,6060,290,JR
Kobe,Miller,,QB,6020,210,FR-RS
Sam,Moeller,,FS,5110,186,SR
Dillon,Moore,,PK,6020,175,SO
Janson,Moore,,QB,5110,188,SO
Richard,Moore,,OB,6000,205,FR-HS
Josch,Motley,,WR,5110,175,SO
Alvin,Munrose,,OB,6010,228,JR
Kyler,Murray,,QB,5110,185,FR-HS
Boone,Niederhofer,,WR,6000,197,JR
Speedy,Noil,,WR,5110,185,SO
Julien,Obioha,,DE,6040,265,SR
Dreagan,Patterson,,WR,6000,190,JR
Will,Paulhill,,CB,5100,192,SR
Edward,Pope,,WR,6040,180,JR
Larry,Pryor,,CB,6000,195,FR-HS
Damion,Ratley,,WR,6010,190,SO
Bryce,Reeves,,WR,6020,185,FR-RS
Josh,Reynolds,,WR,6040,190,JR
Reggie,Rusk,,WR,5070,171,SO
Tanner,Schorp,,DE,6030,240,SO
Ricky,Seals-Jones,,WR,6050,235,SO
Alex,Sezer Jr,,CB,5090,180,JR
Darryl,Shukitt,,DE,6020,219,JR
Kemah,Siverand,,WR,6010,190,FR-HS
Caden,Smith,,OG,6030,260,SR
Cameron,Smith,,IB,6020,225,SR
Jeremiah,Stuckey,,OT,6040,290,JR
Keaton,Sutherland,,OT,6050,290,FR-HS
Jeremy,Tabuyo,,WR,5110,180,JR
Dwaine,Thomas,,IB,6020,218,FR-HS
Kimo,Tipoti,,OG,6030,314,SO
Blaine,Townsend,,RB,6000,234,SR
Jordan,Traylor,,QB,6010,200,SO
Shane,Tripucka,,P,6030,215,SO
Brett,Wade,,RB,6010,230,SO
Hardreck,Walker,,DT,6020,300,JR
Josh,Walker,,OB,6010,233,SO
Deshawn,Washington,,DT,6030,290,FR-RS
Shaan,Washington,,OB,6030,235,JR
Armani,Watts,,FS,5110,190,SO
James,White,,RB,6000,218,SO
Kyle,Whitley,,WR,6020,212,FR-RS
Cody,Wicker,,PK,6010,200,SO
Jonathan,Wiggins,,SS,6030,210,JR
Alonzo,Williams,,DT,6040,296,SR
Brandon,Williams,,RB,6000,200,SR
Donovan,Wilson,,SS,6010,192,SO
Kevin,Wilson,,OB,6010,205,SR
